round,season,date,home,team,xg,goals,goals_against,xg_against,opponent,attendance,venue,ref
34,1920,2020-06-27,1,Wolfsburg,0.8,0,4,3.2,Bayern Munich,0,Volkswagen Arena,Patrick Ittrich
1,1920,2019-08-16,0,Hertha BSC,1,2,2,2.6,Bayern Munich,75000,Allianz Arena,Harm Osmers
1,1920,2019-08-17,0,Augsburg,0.7,1,5,2.7,Dortmund,81365,Signal Iduna Park,Frank Willenborg
1,1920,2019-08-17,0,Paderborn 07,1.2,2,3,2.7,Leverkusen,26208,BayArena,Tobias Stieler
1,1920,2019-08-17,0,Köln,1.2,1,2,0.9,Wolfsburg,25099,Volkswagen Arena,Sven Jablonski
1,1920,2019-08-17,0,Mainz 05,0.9,0,3,1.8,Freiburg,24000,Schwarzwald-Stadion,Robert Hartmann
1,1920,2019-08-17,0,Düsseldorf,0.9,3,1,2.4,Werder Bremen,42100,Weserstadion,Felix Zwayer
1,1920,2019-08-17,0,Schalke 04,0.6,0,0,1.6,M'Gladbach,54022,Stadion im Borussia-Park,Felix Brych
1,1920,2019-08-18,0,Hoffenheim,0.6,0,1,1.1,Eint Frankfurt,50200,Commerzbank-Arena,Daniel Siebert
1,1920,2019-08-18,0,RB Leipzig,3.1,4,0,0.5,Union Berlin,22467,Stadion An der Alten Försterei,Markus Schmidt
2,1920,2019-08-23,0,Dortmund,1.4,3,1,0.7,Köln,50000,RheinEnergieSTADION,Christian Dingert
2,1920,2019-08-24,0,Freiburg,2.2,3,1,1.7,Paderborn 07,14322,Benteler-Arena,Tobias Welz
2,1920,2019-08-24,0,M'Gladbach,1.6,3,1,1.3,Mainz 05,28005,Opel Arena,Martin Petersen
2,1920,2019-08-24,0,Union Berlin,1.1,1,1,1.3,Augsburg,27703,WWK Arena,Robert Schröder
2,1920,2019-08-24,0,Werder Bremen,1.3,2,3,0.7,Hoffenheim,27333,PreZero Arena,Sascha Stegemann
2,1920,2019-08-24,0,Leverkusen,1.8,3,1,1,Düsseldorf,44538,Merkur Spielarena,Patrick Ittrich
2,1920,2019-08-24,0,Bayern Munich,1.5,3,0,1,Schalke 04,62271,Veltins-Arena,Marco Fritz
2,1920,2019-08-25,0,Eint Frankfurt,1,1,2,1.4,RB Leipzig,40108,Red Bull Arena,Benjamin Cortus
2,1920,2019-08-25,0,Wolfsburg,1.3,3,0,1.1,Hertha BSC,42738,Olympiastadion Berlin,Guido Winkmann
3,1920,2019-08-30,0,RB Leipzig,2.2,3,1,1.1,M'Gladbach,47327,Stadion im Borussia-Park,Sven Jablonski
3,1920,2019-08-31,0,Paderborn 07,0.7,1,1,0.6,Wolfsburg,23750,Volkswagen Arena,Daniel Schlager
3,1920,2019-08-31,0,Mainz 05,0.4,1,6,2.7,Bayern Munich,75000,Allianz Arena,Markus Schmidt
3,1920,2019-08-31,0,Hoffenheim,0.3,0,0,0.8,Leverkusen,26506,BayArena,Felix Zwayer
3,1920,2019-08-31,0,Hertha BSC,0.8,0,3,1,Schalke 04,58875,Veltins-Arena,Tobias Stieler
3,1920,2019-08-31,0,Köln,1.3,2,1,0.7,Freiburg,24000,Schwarzwald-Stadion,Robert Kampka
3,1920,2019-08-31,0,Dortmund,1.9,1,3,1.9,Union Berlin,22012,Stadion An der Alten Försterei,Felix Brych
3,1920,2019-09-01,0,Augsburg,1.5,2,3,2.5,Werder Bremen,40041,Weserstadion,Sören Storks
3,1920,2019-09-01,0,Düsseldorf,0.6,1,2,1.2,Eint Frankfurt,49800,Commerzbank-Arena,Frank Willenborg
4,1920,2019-09-13,0,Wolfsburg,1.3,1,1,0.5,Düsseldorf,36758,Merkur Spielarena,Manuel Gräfe
4,1920,2019-09-14,0,M'Gladbach,1.7,1,0,0.9,Köln,50000,RheinEnergieSTADION,Deniz Aytekin
4,1920,2019-09-14,0,Hertha BSC,2.2,1,2,1.7,Mainz 05,22798,Opel Arena,Marco Fritz
4,1920,2019-09-14,0,Eint Frankfurt,1,1,2,2,Augsburg,28513,WWK Arena,Harm Osmers
4,1920,2019-09-14,0,Leverkusen,0.8,0,4,2.5,Dortmund,81365,Signal Iduna Park,Daniel Siebert
4,1920,2019-09-14,0,Werder Bremen,2.7,2,1,1.6,Union Berlin,22012,Stadion An der Alten Försterei,Tobias Welz
4,1920,2019-09-14,0,Bayern Munich,1.5,1,1,1.5,RB Leipzig,42146,Red Bull Arena,Sascha Stegemann
4,1920,2019-09-15,0,Freiburg,1.2,3,0,1.5,Hoffenheim,29395,PreZero Arena,Guido Winkmann
4,1920,2019-09-15,0,Schalke 04,2.7,5,1,1.1,Paderborn 07,15000,Benteler-Arena,Robert Schröder
5,1920,2019-09-20,0,Mainz 05,1.2,1,2,1.3,Schalke 04,58687,Veltins-Arena,Daniel Schlager
5,1920,2019-09-21,0,Union Berlin,0.2,0,2,1.7,Leverkusen,27430,BayArena,Robert Hartmann
5,1920,2019-09-21,0,Augsburg,1,1,1,1,Freiburg,23800,Schwarzwald-Stadion,Bastian Dankert
5,1920,2019-09-21,0,Köln,0.8,0,4,2.7,Bayern Munich,75000,Allianz Arena,Patrick Ittrich
5,1920,2019-09-21,0,Paderborn 07,1.3,1,2,1.3,Hertha BSC,43588,Olympiastadion Berlin,Frank Willenborg
5,1920,2019-09-21,0,RB Leipzig,1.5,3,0,0.7,Werder Bremen,40550,Weserstadion,Tobias Stieler
5,1920,2019-09-22,0,Düsseldorf,0.9,1,2,2.8,M'Gladbach,52413,Stadion im Borussia-Park,Christian Dingert
5,1920,2019-09-22,0,Dortmund,2.2,2,2,1.1,Eint Frankfurt,51500,Commerzbank-Arena,Markus Schmidt
5,1920,2019-09-23,0,Hoffenheim,0.7,1,1,1.2,Wolfsburg,21120,Volkswagen Arena,Benjamin Cortus
6,1920,2019-09-27,0,Eint Frankfurt,1.5,2,1,0.6,Union Berlin,22012,Stadion An der Alten Försterei,Sascha Stegemann
6,1920,2019-09-28,0,Bayern Munich,3.5,3,2,0.3,Paderborn 07,15000,Benteler-Arena,Felix Zwayer
6,1920,2019-09-28,0,M'Gladbach,2.2,3,0,1.5,Hoffenheim,29030,PreZero Arena,Harm Osmers
6,1920,2019-09-28,0,Leverkusen,1.2,3,0,0.3,Augsburg,27113,WWK Arena,Robert Kampka
6,1920,2019-09-28,0,Wolfsburg,0.4,1,0,0.7,Mainz 05,24303,Opel Arena,Felix Brych
6,1920,2019-09-28,0,Schalke 04,2.6,3,1,1.6,RB Leipzig,42146,Red Bull Arena,Manuel Gräfe
6,1920,2019-09-28,0,Werder Bremen,1.4,2,2,2.1,Dortmund,81365,Signal Iduna Park,Deniz Aytekin
6,1920,2019-09-29,0,Freiburg,1.6,2,1,1.3,Düsseldorf,39244,Merkur Spielarena,Daniel Siebert
6,1920,2019-09-29,0,Hertha BSC,1.5,4,0,0.8,Köln,49700,RheinEnergieSTADION,Sören Storks
7,1920,2019-10-04,0,Düsseldorf,1.2,1,3,1.7,Hertha BSC,37128,Olympiastadion Berlin,Martin Petersen
7,1920,2019-10-05,0,Dortmund,0.7,2,2,0.4,Freiburg,24000,Schwarzwald-Stadion,Sven Jablonski
7,1920,2019-10-05,0,RB Leipzig,1.5,1,1,1.3,Leverkusen,26355,BayArena,Marco Fritz
7,1920,2019-10-05,0,Hoffenheim,0.8,2,1,1.5,Bayern Munich,75000,Allianz Arena,Tobias Stieler
7,1920,2019-10-05,0,Mainz 05,2.7,2,1,1.6,Paderborn 07,14217,Benteler-Arena,Patrick Ittrich
7,1920,2019-10-05,0,Köln,0.6,1,1,1.6,Schalke 04,61883,Veltins-Arena,Tobias Welz
7,1920,2019-10-06,0,Augsburg,1.2,1,5,3,M'Gladbach,50352,Stadion im Borussia-Park,Robert Schröder
7,1920,2019-10-06,0,Union Berlin,0.5,0,1,2.3,Wolfsburg,27012,Volkswagen Arena,Bastian Dankert
7,1920,2019-10-06,0,Werder Bremen,1.7,2,2,2.1,Eint Frankfurt,51500,Commerzbank-Arena,Guido Winkmann
8,1920,2019-10-18,0,Leverkusen,1.5,0,3,2.5,Eint Frankfurt,50800,Commerzbank-Arena,Christian Dingert
8,1920,2019-10-19,0,Hertha BSC,0.5,1,1,1,Werder Bremen,41447,Weserstadion,Felix Brych
8,1920,2019-10-19,0,Mainz 05,0.2,0,1,1.3,Düsseldorf,40660,Merkur Spielarena,Felix Zwayer
8,1920,2019-10-19,0,Bayern Munich,2.8,2,2,2,Augsburg,30660,WWK Arena,Daniel Siebert
8,1920,2019-10-19,0,Freiburg,0.5,0,2,1,Union Berlin,22012,Stadion An der Alten Försterei,Benjamin Cortus
8,1920,2019-10-19,0,Wolfsburg,1.5,1,1,1.3,RB Leipzig,39182,Red Bull Arena,Deniz Aytekin
8,1920,2019-10-19,0,M'Gladbach,2.5,0,1,2.2,Dortmund,81365,Signal Iduna Park,Sascha Stegemann
8,1920,2019-10-20,0,Paderborn 07,0.4,0,3,2.3,Köln,50000,RheinEnergieSTADION,Manuel Gräfe
8,1920,2019-10-20,0,Schalke 04,1.1,0,2,1.1,Hoffenheim,29477,PreZero Arena,Robert Hartmann
9,1920,2019-10-25,0,Köln,1.9,1,3,1.5,Mainz 05,31999,Opel Arena,Frank Willenborg
9,1920,2019-10-26,0,Hoffenheim,2.2,3,2,2.2,Hertha BSC,44702,Olympiastadion Berlin,Markus Schmidt
9,1920,2019-10-26,0,RB Leipzig,2.1,1,2,1.6,Freiburg,24000,Schwarzwald-Stadion,Harm Osmers
9,1920,2019-10-26,0,Dortmund,0.4,0,0,1.1,Schalke 04,61873,Veltins-Arena,Felix Brych
9,1920,2019-10-26,0,Union Berlin,1.6,1,2,3.3,Bayern Munich,75000,Allianz Arena,Marco Fritz
9,1920,2019-10-26,0,Düsseldorf,1.4,0,2,0.7,Paderborn 07,14182,Benteler-Arena,Bastian Dankert
9,1920,2019-10-26,0,Werder Bremen,0.9,2,2,1.7,Leverkusen,30210,BayArena,Martin Petersen
9,1920,2019-10-27,0,Augsburg,0.8,0,0,0.8,Wolfsburg,22630,Volkswagen Arena,Tobias Stieler
9,1920,2019-10-27,0,Eint Frankfurt,1,2,4,1.8,M'Gladbach,52300,Stadion im Borussia-Park,Daniel Schlager
10,1920,2019-11-01,0,Paderborn 07,0.4,0,3,1.7,Hoffenheim,23629,PreZero Arena,Robert Schröder
10,1920,2019-11-02,0,Freiburg,1,2,2,1.8,Werder Bremen,41000,Weserstadion,Christian Dingert
10,1920,2019-11-02,0,Wolfsburg,1.6,0,3,1.8,Dortmund,80200,Signal Iduna Park,Tobias Welz
10,1920,2019-11-02,0,Mainz 05,0.8,0,8,3.6,RB Leipzig,38517,Red Bull Arena,Guido Winkmann
10,1920,2019-11-02,0,M'Gladbach,2.2,2,1,2.9,Leverkusen,30210,BayArena,Daniel Siebert
10,1920,2019-11-02,0,Bayern Munich,1.1,1,5,2.7,Eint Frankfurt,51500,Commerzbank-Arena,Markus Schmidt
10,1920,2019-11-02,0,Hertha BSC,0.4,0,1,1.2,Union Berlin,22012,Stadion An der Alten Försterei,Deniz Aytekin
10,1920,2019-11-03,0,Köln,0.7,0,2,1.8,Düsseldorf,51155,Merkur Spielarena,Sven Jablonski
10,1920,2019-11-03,0,Schalke 04,0.5,3,2,1.8,Augsburg,30361,WWK Arena,Patrick Ittrich
11,1920,2019-11-08,0,Hoffenheim,1.8,2,1,0.7,Köln,49100,RheinEnergieSTADION,Robert Kampka
11,1920,2019-11-09,0,Düsseldorf,1.7,3,3,1.6,Schalke 04,61831,Veltins-Arena,Robert Hartmann
11,1920,2019-11-09,0,Union Berlin,1,3,2,1.8,Mainz 05,24349,Opel Arena,Harm Osmers
11,1920,2019-11-09,0,Augsburg,1,1,0,1.2,Paderborn 07,13758,Benteler-Arena,Marco Fritz
11,1920,2019-11-09,0,RB Leipzig,2,4,2,0.4,Hertha BSC,48532,Olympiastadion Berlin,Sören Storks
11,1920,2019-11-09,0,Dortmund,0.5,0,4,3.1,Bayern Munich,75000,Allianz Arena,Felix Zwayer
11,1920,2019-11-10,0,Werder Bremen,1.7,1,3,1.4,M'Gladbach,54022,Stadion im Borussia-Park,Tobias Stieler
11,1920,2019-11-10,0,Leverkusen,1.6,2,0,0.8,Wolfsburg,24112,Volkswagen Arena,Manuel Gräfe
11,1920,2019-11-10,0,Eint Frankfurt,1,0,1,0.9,Freiburg,24000,Schwarzwald-Stadion,Felix Brych
12,1920,2019-11-22,0,Paderborn 07,1.6,3,3,2.5,Dortmund,81365,Signal Iduna Park,Christian Dingert
12,1920,2019-11-23,0,M'Gladbach,1,0,2,1.6,Union Berlin,22012,Stadion An der Alten Försterei,Felix Brych
12,1920,2019-11-23,0,Schalke 04,0.5,2,1,1.7,Werder Bremen,42100,Weserstadion,Benjamin Cortus
12,1920,2019-11-23,0,Freiburg,1.2,1,1,3.5,Leverkusen,29032,BayArena,Deniz Aytekin
12,1920,2019-11-23,0,Bayern Munich,3.5,4,0,0.7,Düsseldorf,53000,Merkur Spielarena,Frank Willenborg
12,1920,2019-11-23,0,Wolfsburg,1.1,2,0,1,Eint Frankfurt,50700,Commerzbank-Arena,Daniel Siebert
12,1920,2019-11-23,0,Köln,0.4,1,4,2.3,RB Leipzig,42036,Red Bull Arena,Robert Schröder
12,1920,2019-11-24,0,Hertha BSC,0.4,0,4,2.3,Augsburg,29233,WWK Arena,Sascha Stegemann
12,1920,2019-11-24,0,Mainz 05,1.9,5,1,2,Hoffenheim,23129,PreZero Arena,Bastian Dankert
13,1920,2019-11-29,0,Union Berlin,1.8,1,2,1.6,Schalke 04,61837,Veltins-Arena,Daniel Schlager
13,1920,2019-11-30,0,Düsseldorf,1,1,1,1.6,Hoffenheim,25427,PreZero Arena,Martin Petersen
13,1920,2019-11-30,0,Augsburg,1.8,1,1,1.4,Köln,49200,RheinEnergieSTADION,Tobias Stieler
13,1920,2019-11-30,0,Dortmund,1.2,2,1,1.2,Hertha BSC,74667,Olympiastadion Berlin,Sven Jablonski
13,1920,2019-11-30,0,RB Leipzig,2.3,3,2,1.8,Paderborn 07,13253,Benteler-Arena,Bibiana Steinhaus
13,1920,2019-11-30,0,Leverkusen,1.3,2,1,2.6,Bayern Munich,75000,Allianz Arena,Guido Winkmann
13,1920,2019-12-01,0,Freiburg,1.3,2,4,4.9,M'Gladbach,51080,Stadion im Borussia-Park,Felix Zwayer
13,1920,2019-12-01,0,Werder Bremen,1.3,3,2,2.2,Wolfsburg,26012,Volkswagen Arena,Robert Kampka
13,1920,2019-12-02,0,Eint Frankfurt,1.1,1,2,2.1,Mainz 05,33134,Opel Arena,Manuel Gräfe
14,1920,2019-12-06,0,Hertha BSC,1.3,2,2,2.5,Eint Frankfurt,50000,Commerzbank-Arena,Christian Dingert
14,1920,2019-12-07,0,Mainz 05,0.4,1,2,3.2,Augsburg,26950,WWK Arena,Markus Schmidt
14,1920,2019-12-07,0,Bayern Munich,1.7,1,2,1.3,M'Gladbach,54022,Stadion im Borussia-Park,Marco Fritz
14,1920,2019-12-07,0,Düsseldorf,0.1,0,5,3,Dortmund,81365,Signal Iduna Park,Daniel Siebert
14,1920,2019-12-07,0,Hoffenheim,1.1,1,3,3.8,RB Leipzig,38407,Red Bull Arena,Deniz Aytekin
14,1920,2019-12-07,0,Wolfsburg,1.2,0,1,0.4,Freiburg,23800,Schwarzwald-Stadion,Bastian Dankert
14,1920,2019-12-07,0,Schalke 04,1.1,1,2,2.3,Leverkusen,30210,BayArena,Harm Osmers
14,1920,2019-12-08,0,Köln,1.1,0,2,2,Union Berlin,22012,Stadion An der Alten Försterei,Patrick Ittrich
14,1920,2019-12-08,0,Paderborn 07,1.3,1,0,0.9,Werder Bremen,39870,Weserstadion,Sascha Stegemann
15,1920,2019-12-13,0,Augsburg,2.2,4,2,2.1,Hoffenheim,23309,PreZero Arena,Bibiana Steinhaus
15,1920,2019-12-14,0,Leverkusen,0.2,0,2,1.5,Köln,49500,RheinEnergieSTADION,Manuel Gräfe
15,1920,2019-12-14,0,Werder Bremen,0.5,1,6,4.9,Bayern Munich,75000,Allianz Arena,Robert Schröder
15,1920,2019-12-14,0,Freiburg,0.8,0,1,0.7,Hertha BSC,37343,Olympiastadion Berlin,Frank Willenborg
15,1920,2019-12-14,0,Dortmund,1.2,4,0,0.2,Mainz 05,33305,Opel Arena,Benjamin Cortus
15,1920,2019-12-14,0,Union Berlin,1.3,1,1,1,Paderborn 07,14414,Benteler-Arena,Sven Jablonski
15,1920,2019-12-14,0,RB Leipzig,3.4,3,0,0.1,Düsseldorf,35387,Merkur Spielarena,Robert Hartmann
15,1920,2019-12-15,0,M'Gladbach,0.4,1,2,1.1,Wolfsburg,25580,Volkswagen Arena,Felix Brych
15,1920,2019-12-15,0,Eint Frankfurt,0.7,0,1,1,Schalke 04,60811,Veltins-Arena,Felix Zwayer
16,1920,2019-12-17,0,Mainz 05,2.8,5,0,1,Werder Bremen,37720,Weserstadion,Frank Willenborg
16,1920,2019-12-17,0,Düsseldorf,0.4,0,3,1.2,Augsburg,27763,WWK Arena,Marco Fritz
16,1920,2019-12-17,0,Hoffenheim,0.8,2,0,1.3,Union Berlin,20350,Stadion An der Alten Försterei,Sören Storks
16,1920,2019-12-17,0,RB Leipzig,2.5,3,3,1.1,Dortmund,80200,Signal Iduna Park,Tobias Stieler
16,1920,2019-12-18,0,Hertha BSC,1.2,1,0,0.9,Leverkusen,24472,BayArena,Bastian Dankert
16,1920,2019-12-18,0,Schalke 04,1.2,1,1,2.1,Wolfsburg,24651,Volkswagen Arena,Martin Petersen
16,1920,2019-12-18,0,Köln,2.5,4,2,1.4,Eint Frankfurt,50300,Commerzbank-Arena,Deniz Aytekin
16,1920,2019-12-18,0,Paderborn 07,0.5,0,2,2.5,M'Gladbach,44494,Stadion im Borussia-Park,Robert Kampka
16,1920,2019-12-18,0,Bayern Munich,3.4,3,1,1.7,Freiburg,24000,Schwarzwald-Stadion,Sascha Stegemann
17,1920,2019-12-20,0,Dortmund,1.7,1,2,1.1,Hoffenheim,30150,PreZero Arena,Felix Zwayer
17,1920,2019-12-21,0,Freiburg,2.8,2,2,1.6,Schalke 04,61867,Veltins-Arena,Felix Brych
17,1920,2019-12-21,0,Augsburg,0.5,1,3,3.3,RB Leipzig,40562,Red Bull Arena,Daniel Siebert
17,1920,2019-12-21,0,Leverkusen,1.5,1,0,1.9,Mainz 05,24345,Opel Arena,Patrick Ittrich
17,1920,2019-12-21,0,Wolfsburg,0.9,0,2,1.3,Bayern Munich,75000,Allianz Arena,Christian Dingert
17,1920,2019-12-21,0,Werder Bremen,0.2,0,1,1.1,Köln,50000,RheinEnergieSTADION,Daniel Schlager
17,1920,2019-12-21,0,M'Gladbach,0.8,0,0,0.4,Hertha BSC,50208,Olympiastadion Berlin,Harm Osmers
17,1920,2019-12-22,0,Union Berlin,2,1,2,1,Düsseldorf,45490,Merkur Spielarena,Benjamin Cortus
17,1920,2019-12-22,0,Eint Frankfurt,2,1,2,2.9,Paderborn 07,15000,Benteler-Arena,Markus Schmidt
18,1920,2020-01-17,0,M'Gladbach,0.8,0,2,1.5,Schalke 04,62271,Veltins-Arena,Deniz Aytekin
18,1920,2020-01-18,0,Eint Frankfurt,1.5,2,1,0.9,Hoffenheim,29610,PreZero Arena,Sascha Stegemann
18,1920,2020-01-18,0,Dortmund,4.8,5,3,1.8,Augsburg,30660,WWK Arena,Manuel Gräfe
18,1920,2020-01-18,0,Wolfsburg,1.7,1,3,1.3,Köln,49100,RheinEnergieSTADION,Marco Fritz
18,1920,2020-01-18,0,Freiburg,1.5,2,1,2.5,Mainz 05,23138,Opel Arena,Sven Jablonski
18,1920,2020-01-18,0,Werder Bremen,1,1,0,1,Düsseldorf,46000,Merkur Spielarena,Felix Brych
18,1920,2020-01-18,0,Union Berlin,1.4,1,3,2.1,RB Leipzig,42146,Red Bull Arena,Bastian Dankert
18,1920,2020-01-19,0,Bayern Munich,2.3,4,0,0.6,Hertha BSC,74667,Olympiastadion Berlin,Tobias Stieler
18,1920,2020-01-19,0,Leverkusen,2.2,4,1,1.3,Paderborn 07,14889,Benteler-Arena,Daniel Siebert
19,1920,2020-01-24,0,Köln,1.2,1,5,2.6,Dortmund,81365,Signal Iduna Park,Harm Osmers
19,1920,2020-01-25,0,Mainz 05,0.7,1,3,2.3,M'Gladbach,49175,Stadion im Borussia-Park,Felix Zwayer
19,1920,2020-01-25,0,RB Leipzig,1.3,0,2,1.2,Eint Frankfurt,50300,Commerzbank-Arena,Daniel Siebert
19,1920,2020-01-25,0,Paderborn 07,1.8,2,0,1.4,Freiburg,23500,Schwarzwald-Stadion,Christian Dingert
19,1920,2020-01-25,0,Augsburg,1.6,0,2,1,Union Berlin,22012,Stadion An der Alten Försterei,Bibiana Steinhaus
19,1920,2020-01-25,0,Hertha BSC,1.8,2,1,1.1,Wolfsburg,24894,Volkswagen Arena,Markus Schmidt
19,1920,2020-01-25,0,Schalke 04,0.4,0,5,3.4,Bayern Munich,75000,Allianz Arena,Manuel Gräfe
19,1920,2020-01-26,0,Hoffenheim,0.9,3,0,0.7,Werder Bremen,40000,Weserstadion,Martin Petersen
19,1920,2020-01-26,0,Düsseldorf,0.7,0,3,3.7,Leverkusen,26250,BayArena,Daniel Schlager
20,1920,2020-01-31,0,Schalke 04,0.7,0,0,0.4,Hertha BSC,47863,Olympiastadion Berlin,Sascha Stegemann
20,1920,2020-02-01,0,Union Berlin,0.3,0,5,3.3,Dortmund,81365,Signal Iduna Park,Benjamin Cortus
20,1920,2020-02-01,0,Bayern Munich,1.5,3,1,0.3,Mainz 05,33305,Opel Arena,Bastian Dankert
20,1920,2020-02-01,0,Werder Bremen,0.5,1,2,1.1,Augsburg,29432,WWK Arena,Marco Fritz
20,1920,2020-02-01,0,Eint Frankfurt,1,1,1,0.3,Düsseldorf,45018,Merkur Spielarena,Frank Willenborg
20,1920,2020-02-01,0,Leverkusen,2.5,1,2,3.1,Hoffenheim,24489,PreZero Arena,Deniz Aytekin
20,1920,2020-02-01,0,M'Gladbach,1.2,2,2,1.6,RB Leipzig,42146,Red Bull Arena,Tobias Stieler
20,1920,2020-02-02,0,Freiburg,0.6,0,4,3.6,Köln,50000,RheinEnergieSTADION,Robert Kampka
20,1920,2020-02-02,0,Wolfsburg,1.5,4,2,1,Paderborn 07,13926,Benteler-Arena,Patrick Ittrich
21,1920,2020-02-07,0,Augsburg,0.5,0,5,2.3,Eint Frankfurt,48800,Commerzbank-Arena,Manuel Gräfe
21,1920,2020-02-08,0,Paderborn 07,0.8,1,1,1.3,Schalke 04,61614,Veltins-Arena,Felix Brych
21,1920,2020-02-08,0,Mainz 05,2.2,3,1,0.7,Hertha BSC,35049,Olympiastadion Berlin,Martin Petersen
21,1920,2020-02-08,0,Düsseldorf,0.8,1,1,1,Wolfsburg,23445,Volkswagen Arena,Tobias Stieler
21,1920,2020-02-08,0,Hoffenheim,1.5,0,1,1.7,Freiburg,24000,Schwarzwald-Stadion,Sven Jablonski
21,1920,2020-02-08,0,Union Berlin,1.4,2,0,1.3,Werder Bremen,42100,Weserstadion,Daniel Schlager
21,1920,2020-02-08,0,Dortmund,0.8,3,4,1.5,Leverkusen,30210,BayArena,Markus Schmidt
21,1920,2020-02-09,0,RB Leipzig,1.3,0,0,1.4,Bayern Munich,75000,Allianz Arena,Marco Fritz
22,1920,2020-02-14,0,Eint Frankfurt,0,0,4,1.2,Dortmund,81365,Signal Iduna Park,Bastian Dankert
22,1920,2020-02-15,0,Hertha BSC,1.8,2,1,0.8,Paderborn 07,14687,Benteler-Arena,Bibiana Steinhaus
22,1920,2020-02-15,0,Werder Bremen,0.4,0,3,1.3,RB Leipzig,41308,Red Bull Arena,Benjamin Cortus
22,1920,2020-02-15,0,Leverkusen,1,3,2,1.3,Union Berlin,22012,Stadion An der Alten Försterei,Harm Osmers
22,1920,2020-02-15,0,Wolfsburg,2.7,3,2,2.5,Hoffenheim,22506,PreZero Arena,Sören Storks
22,1920,2020-02-15,0,Freiburg,1.3,1,1,0.9,Augsburg,26822,WWK Arena,Patrick Ittrich
22,1920,2020-02-15,0,M'Gladbach,2.3,4,1,1,Düsseldorf,51000,Merkur Spielarena,Daniel Siebert
22,1920,2020-02-16,0,Bayern Munich,2.6,4,1,2.5,Köln,50000,RheinEnergieSTADION,Felix Zwayer
22,1920,2020-02-16,0,Schalke 04,0.8,0,0,1.3,Mainz 05,27482,Opel Arena,Guido Winkmann
23,1920,2020-02-21,0,Paderborn 07,1.3,2,3,2.6,Bayern Munich,75000,Allianz Arena,Markus Schmidt
23,1920,2020-02-22,0,Hoffenheim,1.6,1,1,2.4,M'Gladbach,50250,Stadion im Borussia-Park,Felix Brych
23,1920,2020-02-22,0,Köln,2.6,5,0,0.6,Hertha BSC,46207,Olympiastadion Berlin,Daniel Schlager
23,1920,2020-02-22,0,Düsseldorf,0.8,2,0,0.9,Freiburg,24000,Schwarzwald-Stadion,Frank Willenborg
23,1920,2020-02-22,0,Dortmund,1.1,2,0,0.2,Werder Bremen,42100,Weserstadion,Marco Fritz
23,1920,2020-02-22,0,RB Leipzig,2.6,5,0,0.2,Schalke 04,61433,Veltins-Arena,Sascha Stegemann
23,1920,2020-02-23,0,Augsburg,0.6,0,2,0.9,Leverkusen,23703,BayArena,Sven Jablonski
23,1920,2020-02-23,0,Mainz 05,0.9,0,4,2.8,Wolfsburg,21058,Volkswagen Arena,Benjamin Cortus
23,1920,2020-02-24,0,Union Berlin,1.5,2,1,1.8,Eint Frankfurt,47000,Commerzbank-Arena,Deniz Aytekin
24,1920,2020-02-28,0,Hertha BSC,2.9,3,3,1.4,Düsseldorf,31632,Merkur Spielarena,Tobias Stieler
24,1920,2020-02-29,0,Paderborn 07,0.6,0,2,1,Mainz 05,24231,Opel Arena,Harm Osmers
24,1920,2020-02-29,0,M'Gladbach,2.5,3,2,1.1,Augsburg,29303,WWK Arena,Markus Schmidt
24,1920,2020-02-29,0,Bayern Munich,3.5,6,0,0.4,Hoffenheim,30150,PreZero Arena,Christian Dingert
24,1920,2020-02-29,0,Freiburg,1.1,0,1,1.6,Dortmund,81365,Signal Iduna Park,Robert Hartmann
24,1920,2020-02-29,0,Schalke 04,0.8,0,3,1.1,Köln,50000,RheinEnergieSTADION,Manuel Gräfe
24,1920,2020-03-01,0,Wolfsburg,1,2,2,0.6,Union Berlin,22012,Stadion An der Alten Försterei,Bastian Dankert
24,1920,2020-03-01,0,Leverkusen,1.3,1,1,0.6,RB Leipzig,41216,Red Bull Arena,Felix Zwayer
25,1920,2020-03-06,0,Köln,2.5,2,1,0.6,Paderborn 07,15000,Benteler-Arena,Daniel Siebert
25,1920,2020-03-07,0,RB Leipzig,1.2,0,0,0.8,Wolfsburg,27195,Volkswagen Arena,Daniel Schlager
25,1920,2020-03-07,0,Werder Bremen,0.9,2,2,1.1,Hertha BSC,58028,Olympiastadion Berlin,Guido Winkmann
25,1920,2020-03-07,0,Hoffenheim,0.6,1,1,0.8,Schalke 04,58324,Veltins-Arena,Sven Jablonski
25,1920,2020-03-07,0,Union Berlin,0.6,1,3,0.8,Freiburg,24000,Schwarzwald-Stadion,Marco Fritz
25,1920,2020-03-07,0,Eint Frankfurt,0.8,0,4,2.3,Leverkusen,30210,BayArena,Felix Brych
25,1920,2020-03-07,0,Dortmund,0.7,2,1,2,M'Gladbach,53877,Stadion im Borussia-Park,Sascha Stegemann
25,1920,2020-03-08,0,Augsburg,0.7,0,2,2.9,Bayern Munich,75000,Allianz Arena,Bibiana Steinhaus
25,1920,2020-03-08,0,Düsseldorf,1.9,1,1,0.8,Mainz 05,21409,Opel Arena,Harm Osmers
21,1920,2020-03-11,0,Köln,0.8,1,2,0.9,M'Gladbach,0,Stadion im Borussia-Park,Deniz Aytekin
