Squad,Comp,PlayersUsed,Gls,Sh,SoT,SoTpercent,ShotsPer90,SoTper90,GoalsPerShot,GoalsPerSoT,FK,PK,PKatt,xG,npxG,npxGperShot,GxGDiff,npGxGDiff
Leeds United,Premier League,19,12,86,36,41.9,14.33,6,0.13,0.31,3,1,1,10.4,9.7,0.11,1.6,1.3
Elche,La Liga,24,5,22,9,40.9,4.4,1.8,0.23,0.56,0,0,0,3.8,3.8,0.17,1.2,1.2
Fiorentina,Serie A,23,10,63,21,33.3,12.6,4.2,0.16,0.48,1,0,0,8.9,8.9,0.14,1.1,1.1
Genoa,Serie A,25,4,28,8,28.6,7,2,0.14,0.5,1,0,0,2.9,2.9,0.11,1.1,1.1
West Ham,Premier League,20,10,77,25,32.5,12.83,4.17,0.13,0.4,1,0,0,8.9,8.9,0.12,1.1,1.1
Lille,Ligue 1,20,13,96,36,37.5,12,4.5,0.13,0.33,5,1,1,11.7,11,0.12,1.3,1
Manchester City,Premier League,22,8,79,26,32.9,15.8,5.2,0.09,0.27,5,1,1,6.9,6.1,0.08,1.1,0.9
Osasuna,La Liga,20,6,51,16,31.4,8.5,2.67,0.1,0.31,2,1,1,4.9,4.1,0.08,1.1,0.9
Wolves,Premier League,19,6,69,19,27.5,11.5,3.17,0.09,0.32,1,0,0,5.1,5.1,0.08,0.9,0.9
Newcastle Utd,Premier League,19,7,48,13,27.1,8,2.17,0.1,0.38,2,2,2,5.7,4.2,0.09,1.3,0.8
Werder Bremen,Bundesliga,21,7,58,18,31,11.6,3.6,0.09,0.28,2,2,2,5.7,4.2,0.08,1.3,0.8
Dortmund,Bundesliga,22,11,75,26,34.7,15,5.2,0.13,0.38,2,1,1,10.2,9.4,0.13,0.8,0.6
Freiburg,Bundesliga,19,6,60,22,36.7,12,4.4,0.1,0.27,3,0,0,5.4,5.4,0.09,0.6,0.6
Inter,Serie A,22,12,83,28,33.7,16.6,5.6,0.14,0.43,1,0,0,11.4,11.4,0.14,0.6,0.6
Reims,Ligue 1,27,10,72,24,33.3,9,3,0.1,0.29,2,3,3,8.6,6.4,0.09,1.4,0.6
Brighton,Premier League,17,9,75,20,26.7,12.5,3.33,0.09,0.35,1,2,2,8.1,6.6,0.09,0.9,0.4
Angers,Ligue 1,27,10,93,26,28,11.62,3.25,0.1,0.35,5,1,2,10.2,8.7,0.1,-0.2,0.3
Bordeaux,Ligue 1,22,9,83,32,38.6,10.37,4,0.1,0.25,6,1,1,8.5,7.7,0.09,0.5,0.3
Betis,La Liga,24,7,86,28,32.6,12.29,4,0.07,0.21,4,1,1,6.6,5.8,0.07,0.4,0.2
Eibar,La Liga,25,5,62,22,35.5,8.86,3.14,0.06,0.18,4,1,2,5.3,3.8,0.06,-0.3,0.2
Lorient,Ligue 1,23,11,71,25,35.2,8.87,3.12,0.11,0.32,6,3,3,10,7.8,0.12,1,0.2
Arminia,Bundesliga,21,4,48,17,35.4,9.6,3.4,0.08,0.24,2,0,0,4,4,0.08,0,0
Metz,Ligue 1,22,8,82,25,30.5,10.25,3.12,0.09,0.28,10,1,1,7.8,7,0.09,0.2,0
Milan,Serie A,22,12,69,25,36.2,13.8,5,0.13,0.36,3,3,4,9.4,7,0.11,-0.4,0
Bologna,Serie A,22,8,80,31,38.8,16,6.2,0.1,0.26,4,0,0,8.1,8.1,0.1,-0.1,-0.1
Getafe,La Liga,18,5,48,14,29.2,8,2.33,0.08,0.29,5,1,1,4.8,4.1,0.09,0.2,-0.1
Leverkusen,Bundesliga,21,6,59,26,44.1,11.8,5.2,0.08,0.19,0,1,1,3.3,3.3,0.06,-0.3,-0.3
Valladolid,La Liga,24,5,53,17,32.1,7.57,2.43,0.06,0.18,4,2,3,5.6,3.3,0.07,-0.6,-0.3
Barcelona,La Liga,19,7,51,22,43.1,10.2,4.4,0.12,0.27,5,1,1,7.1,6.4,0.13,-0.1,-0.4
Juventus,Serie A,23,7,60,18,30,15,4.5,0.1,0.33,4,1,1,7.1,6.4,0.11,-0.1,-0.4
Mainz 05,Bundesliga,23,4,45,9,20,9,1.8,0.09,0.44,3,0,0,4.6,4.6,0.1,-0.6,-0.6
RB Leipzig,Bundesliga,22,11,89,29,32.6,17.8,5.8,0.09,0.28,3,3,3,10.8,8.6,0.1,0.2,-0.6
Levante,La Liga,23,6,58,21,36.2,9.67,3.5,0.09,0.24,0,1,2,6.5,5.7,0.11,-1.5,-0.7
Schalke 04,Bundesliga,25,2,39,10,25.6,7.8,2,0.05,0.2,0,0,0,2.7,2.7,0.07,-0.7,-0.7
Fulham,Premier League,23,5,74,20,27,12.33,3.33,0.05,0.2,2,1,2,6.4,4.9,0.07,-1.4,-0.9
Liverpool,Premier League,19,15,111,39,35.1,18.5,6.5,0.12,0.33,4,2,2,15.3,13.9,0.13,-0.3,-0.9
Nantes,Ligue 1,22,9,72,24,33.3,10.29,3.43,0.1,0.29,1,2,2,9.4,8,0.12,-0.4,-1
Parma,Serie A,23,6,50,18,36,10,3.6,0.1,0.28,2,1,1,6.8,6,0.12,-0.8,-1
Burnley,Premier League,18,3,59,18,30.5,11.8,3.6,0.05,0.17,3,0,0,4.1,4.1,0.07,-1.1,-1.1
Hoffenheim,Bundesliga,24,9,62,23,37.1,12.4,4.6,0.11,0.3,1,2,2,9.7,8.2,0.14,-0.7,-1.2
M'Gladbach,Bundesliga,18,8,68,26,38.2,13.6,5.2,0.07,0.19,0,3,3,8.6,6.4,0.1,-0.6,-1.4
Cádiz,La Liga,26,5,65,21,32.3,9.29,3,0.08,0.24,3,0,0,6.5,6.5,0.1,-1.5,-1.5
Crotone,Serie A,24,5,55,15,27.3,11,3,0.05,0.2,2,2,2,6.1,4.5,0.09,-1.1,-1.5
Sevilla,La Liga,22,5,69,15,21.7,13.8,3,0.07,0.33,1,0,0,6.5,6.5,0.09,-1.5,-1.5
Strasbourg,Ligue 1,21,9,92,29,31.5,11.5,3.62,0.08,0.24,5,2,2,10.1,8.6,0.1,-1.1,-1.6
Brest,Ligue 1,22,11,111,37,33.3,13.87,4.62,0.09,0.27,4,1,1,12.4,11.7,0.11,-1.4,-1.7
Huesca,La Liga,24,5,78,26,33.3,11.14,3.71,0.06,0.19,1,0,0,6.7,6.7,0.09,-1.7,-1.7
Lazio,Serie A,24,6,62,20,32.3,12.4,4,0.1,0.3,0,0,0,7.7,7.7,0.13,-1.7,-1.7
Monaco,Ligue 1,27,11,125,32,25.6,15.62,4,0.07,0.28,8,2,2,12.2,10.7,0.09,-1.2,-1.7
Athletic Club,La Liga,24,4,66,22,33.3,11,3.67,0.06,0.18,1,0,0,6.1,6.1,0.09,-2.1,-2.1
Dijon,Ligue 1,25,4,76,22,28.9,9.5,2.75,0.05,0.18,2,0,0,6.1,6.1,0.08,-2.1,-2.1
Eint Frankfurt,Bundesliga,20,7,65,19,29.2,13,3.8,0.08,0.26,2,2,2,8.6,7.1,0.12,-1.6,-2.1
Villarreal,La Liga,23,8,70,25,35.7,10,3.57,0.07,0.2,3,3,3,9.3,7.1,0.11,-1.3,-2.1
Roma,Serie A,19,11,76,24,31.6,15.2,4.8,0.11,0.33,4,3,3,9.7,8.2,0.11,-1.7,-2.2
Wolfsburg,Bundesliga,20,4,61,17,27.9,12.2,3.4,0.07,0.24,2,0,0,6.2,6.2,0.1,-2.2,-2.2
Köln,Bundesliga,22,5,54,18,33.3,10.8,3.6,0.07,0.22,0,1,1,7.1,6.3,0.12,-2.1,-2.3
Sheffield Utd,Premier League,19,3,52,12,23.1,8.67,2,0.02,0.08,0,2,3,6.1,3.9,0.08,-3.1,-2.9
Hellas Verona,Serie A,25,2,51,19,37.3,10.2,3.8,0.04,0.11,0,0,0,5,5,0.1,-3,-3
Alavés,La Liga,23,5,63,17,27,9,2.43,0.08,0.29,2,0,1,8.9,8.1,0.14,-3.9,-3.1
Paris S-G,Ligue 1,29,20,145,58,40,18.12,7.25,0.13,0.33,10,1,1,23.2,22.4,0.16,-3.2,-3.4
Udinese,Serie A,24,4,76,22,28.9,15.2,4.4,0.05,0.18,0,0,0,7.7,7.7,0.1,-3.7,-3.7
Celta Vigo,La Liga,20,4,79,25,31.6,11.29,3.57,0.05,0.16,5,0,0,7.2,7.2,0.09,-4.2,-4.2
Lens,Ligue 1,23,10,85,27,31.8,12.14,3.86,0.07,0.22,5,4,4,13.4,10.3,0.13,-3.4,-4.3
Real Madrid,La Liga,24,8,83,23,27.7,13.83,3.83,0.07,0.26,1,2,2,12.3,10.8,0.13,-4.3,-4.8
Lyon,Ligue 1,23,13,146,39,26.7,18.25,4.87,0.05,0.21,8,5,5,21,17.3,0.12,-8,-9.3
